,models,params,mean_fit_time,mean_test_score
31,noise5|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 8, 'consensusfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",104.71621799468994,0.626849532090487
19,noise5|no_filter|randomforestclassifier,"{'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",1.0280820369720458,0.6220101687421707
46,noise10|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 4, 'consensusfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",48.863867616653444,0.6219935892712402
38,noise10|no_filter|randomforestclassifier,"{'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",0.9715724945068359,0.621965956819689
50,noise10|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 8, 'consensusfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",129.8448652267456,0.6219604303293788
11,no_noise|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 7, 'consensusfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",115.31274604797363,0.6207740770761181
0,no_noise|no_filter|randomforestclassifier,{'randomforestclassifier__random_state': 2357136044},1.0457056522369386,0.6207630240954978
30,noise5|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 7, 'consensusfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",89.03568606376648,0.6201422150173163
16,no_noise|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 6, 'majorityfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",90.53670439720153,0.6189282293125046
27,noise5|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 4, 'consensusfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",50.474429512023924,0.6189227028221944
45,noise10|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 3, 'consensusfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",38.23476214408875,0.6177308230786236
12,no_noise|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 8, 'consensusfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",118.55864477157593,0.6171486994326136
7,no_noise|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 3, 'consensusfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",36.73477025032044,0.6171431729423034
9,no_noise|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 5, 'consensusfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",65.669992685318,0.6165168373738118
18,no_noise|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 8, 'majorityfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",112.27441058158874,0.6159126077665611
10,no_noise|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 6, 'consensusfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",85.4189757347107,0.615912607766561
52,noise10|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 4, 'majorityfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",52.2602635383606,0.6158683958440794
47,noise10|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 5, 'consensusfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",59.32773237228393,0.6146599366295777
26,noise5|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 3, 'consensusfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",32.14119973182678,0.6146433571586472
13,no_noise|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 3, 'majorityfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",40.32045488357544,0.6140667600029474
37,noise5|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 8, 'majorityfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",104.58997216224671,0.6140557070223269
55,noise10|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 7, 'majorityfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",84.34721879959106,0.613445950924766
49,noise10|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 7, 'consensusfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",86.57593989372253,0.6134404244344559
66,noise20|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 5, 'consensusfilter__random_state': 2357136044, 'noise20__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",51.94821095466614,0.612858300788446
28,noise5|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 5, 'consensusfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",61.43925518989563,0.6128472478078255
29,noise5|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 6, 'consensusfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",66.9378309726715,0.6122319652199543
44,noise10|singlefilter|randomforestclassifier,"{'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044, 'singlefilter__n_splits': 8, 'singlefilter__random_state': 2357136044}",2.510605716705322,0.6122098592587134
8,no_noise|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 4, 'consensusfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",52.27452960014343,0.6110345589860732
35,noise5|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 6, 'majorityfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",63.18121438026428,0.6110235060054527
68,noise20|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 7, 'consensusfilter__random_state': 2357136044, 'noise20__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",90.63129339218139,0.6110179795151426
48,noise10|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 6, 'consensusfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",73.28863396644593,0.6109792940829711
17,no_noise|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 7, 'majorityfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",106.69460172653199,0.6104248028885123
32,noise5|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 3, 'majorityfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",31.410621023178102,0.6097818878490899
56,noise10|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 8, 'majorityfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",119.07521638870239,0.6097653083781593
15,no_noise|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 5, 'majorityfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",67.61010327339173,0.6086342200280008
14,no_noise|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 4, 'majorityfilter__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",54.259252882003786,0.6067496868322158
69,noise20|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 8, 'consensusfilter__random_state': 2357136044, 'noise20__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",112.88694381713867,0.6067331073612852
33,noise5|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 4, 'majorityfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",54.32649464607239,0.6061565102055854
53,noise10|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 5, 'majorityfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",54.30726246833801,0.6061344042443446
36,noise5|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 7, 'majorityfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",88.30375099182129,0.6055743865595755
42,noise10|singlefilter|randomforestclassifier,"{'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044, 'singlefilter__n_splits': 6, 'singlefilter__random_state': 2357136044}",2.888914203643799,0.6055025421855427
51,noise10|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 3, 'majorityfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",42.94861884117127,0.6049314715201533
34,noise5|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 5, 'majorityfilter__random_state': 2357136044, 'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",60.68288078308105,0.6049204185395328
54,noise10|majorityfilter|randomforestclassifier,"{'majorityfilter__n_splits': 6, 'majorityfilter__random_state': 2357136044, 'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",76.80057201385497,0.6049093655589124
67,noise20|consensusfilter|randomforestclassifier,"{'consensusfilter__n_splits': 6, 'consensusfilter__random_state': 2357136044, 'noise20__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",68.96099858283996,0.604338294893523
57,noise20|no_filter|randomforestclassifier,"{'noise20__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044}",1.365276861190796,0.6043327684032127
39,noise10|singlefilter|randomforestclassifier,"{'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044, 'singlefilter__n_splits': 3, 'singlefilter__random_state': 2357136044}",1.3700229167938232,0.6043272419129024
21,noise5|singlefilter|randomforestclassifier,"{'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044, 'singlefilter__n_splits': 4, 'singlefilter__random_state': 2357136044}",1.5289433479309082,0.604316188932282
3,no_noise|singlefilter|randomforestclassifier,"{'randomforestclassifier__random_state': 2357136044, 'singlefilter__n_splits': 5, 'singlefilter__random_state': 2357136044}",1.596686315536499,0.603728538795962
41,noise10|singlefilter|randomforestclassifier,"{'noise10__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044, 'singlefilter__n_splits': 5, 'singlefilter__random_state': 2357136044}",2.1700807094573973,0.6037230123056517
23,noise5|singlefilter|randomforestclassifier,"{'noise5__random_state': 2357136044, 'randomforestclassifier__random_state': 2357136044, 'singlefilter__n_splits': 6, 'singlefilter__random_state': 2357136044}",2.145808219909668,0.6037174858153416
2,no_noise|singlefilter|randomforestclassifier,"{'randomforestclassifier__random_state': 2357136044, 'singlefilter__n_splits': 4, 'singlefilter__random_state': 2357136044}",1.3541961669921876,0.6037174858153416
